Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
50	-2000.0	0.0	-2000.0	-2000.0	2000.0	-99.996376	0.054606345	-99.66116	-100.06468	510000	4.9591065e-09	0.0030352264	-0.0060216766	-0.00043561077	0.35294682	0.011100513	0.1042	79.0	3954.322347640991
51	-2000.0	0.0	-2000.0	-2000.0	2000.0	-100.005	0.03720163	-99.66628	-100.06713	520000	6.4849854e-09	0.0014195323	-0.0060494808	-0.000108507695	0.31920266	0.00905287	0.0338	79.0	4031.917649269104
52	-2000.0	0.0	-2000.0	-2000.0	2000.0	-100.00214	0.03427717	-99.749504	-100.061295	530000	1.1444092e-09	0.0012161712	-0.004594812	-7.0511596e-05	0.31122315	0.0066599273	0.0427	79.0	4109.45489692688
53	-2000.0	0.0	-2000.0	-2000.0	2000.0	-99.99652	0.037159096	-99.75449	-100.05649	540000	-6.6757204e-09	0.001415881	-0.0034881711	-8.86732e-05	0.33875647	0.0031858624	0.0201	79.0	4187.168306827545
54	-2000.0	0.0	-2000.0	-2000.0	2000.0	-100.0023	0.036856115	-99.73036	-100.05977	550000	2.4795532e-09	0.0013866908	-0.005409016	-6.750063e-05	0.32384568	0.0054254625	0.0384	79.0	4265.28662109375
55	-2000.0	0.0	-2000.0	-2000.0	2000.0	-100.0023	0.033203755	-99.742744	-100.05639	560000	9.918213e-09	0.0010989722	-0.0038605218	-5.241821e-05	0.29648408	0.0037953148	0.0324	79.0	4343.622984409332
56	-2000.0	0.0	-2000.0	-2000.0	2000.0	-100.00255	0.031352013	-99.56712	-100.05317	570000	-9.727478e-09	0.0009933512	-0.003036856	-4.896929e-05	0.29689586	0.0032505211	0.0308	79.0	4422.446396112442
57	-2000.0	0.0	-2000.0	-2000.0	2000.0	-100.00795	0.03223871	-99.722466	-100.05015	580000	4.577637e-09	0.0011252759	-0.005420648	-0.00011344091	0.2560744	0.0059961868	0.0237	79.0	4500.660028457642
58	-2000.0	0.0	-2000.0	-2000.0	2000.0	-99.99605	0.03068417	-99.805595	-100.04104	590000	-9.727478e-09	0.0009359191	-0.005361307	-4.5449357e-05	0.29289195	0.006966629	0.0377	79.0	4578.9174036979675
59	-2000.0	0.0	-2000.0	-2000.0	2000.0	-100.00205	0.029424092	-99.671684	-100.04357	600000	-1.1444092e-08	0.00085778104	-0.0067357593	-3.424863e-05	0.29484606	0.0097195	0.0311	79.0	4657.070401191711
60	-2000.0	0.0	-2000.0	-2000.0	2000.0	-99.990974	0.029262878	-99.74546	-100.040764	610000	1.5258789e-09	0.0009185947	-0.004410561	-0.00010587968	0.39163747	0.007213153	0.067	79.0	4735.359563112259
61	-2000.0	0.0	-2000.0	-2000.0	2000.0	-99.99478	0.037374675	-99.81204	-100.04819	620000	-2.2888185e-09	0.0014596942	-0.0029457652	-8.594233e-05	0.35260516	0.004568433	0.0331	79.0	4813.200254201889
